WORD,DEFINITION
hard,schwer
to live,leben
line,Linie
past,Vergangenheit
to plan,planen
call,Anruf
hand,Hand
easy,einfach
to take,dauern
four,vier
to form,bilden
room,Zimmer
head,Kopf
kind,nett
mind,Verstand
seen,gesehen
cost,Kosten
face,Gesicht
to tell,erzählen
list,Liste
type,Art
idea,Idee
news,Nachrichten
post,Post
upon,auf
page,Seite
five,fünf
true,wahr
move,Bewegung
to hope,hoffen
turn,Wende
view,Aussicht
their,ihr
there,dort
about,über
which,welcher
other,anderer
these,diese
first,zuerst
after,nach
where,wo
years,Jahre
those,jene
while,während
great,großartig
to think,denken
right,Recht
world,Welt
still,immer noch
every,jeden
since,seit
place,Platz
three,drei
never,nie
might,können
state,Zustand
again,nochmal
under,unter
found,gefunden
water,Wasser
money,Geld
small,klein
often,häufig
thing,Ding
order,Auftrag
group,Gruppe
point,Punkt
times,mal
along,entlang
house,Haus
today,heute
start,Start
local,lokal
power,Leistung
until,bis
women,Frau
big,groß
based,basierend
level,Niveau
night,Nacht
the least,am wenigsten
given,gegeben
offer,Angebot
music,Musik
quite,ziemlich
early,früh
later,später
story,Geschichte
known,bekannt
young,jung
whole,ganz
light,Licht
human,Mensch
event,Veranstaltung
to learn,lernen
price,Preis
to check,überprüfen
video,Video
among,unter
hour,Stunde
above,über
major,Haupt-
white,weiß
media,Medien
black,schwarz
to study,studieren
value,Wert
short,kurz
taken,genommen
heart,Herz
space,Platz
child,Kind
to share,teilen
to close,schließen
to bring,bringen
factory,Werk
areas,Bereiche
games,Spiele
party,Party
month,Monat
words,Wörter
people,Menschen
before,vor
really,wirklich
around,um
little,wenig
things,Dinge
during,während
online,online
system,System
better,besser
always,immer
number,Nummer
family,Familie
within,innerhalb
school,Schule
health,Gesundheit
though,obwohl
course,Kurs
public,Öffentlichkeit
to become,werden
person,Person
change,Veränderung
enough,genug
market,Markt
second,zweiter
others,andere
social,sozial
design,Design
simply,einfach
energy,Energie
to create,erschaffen
credit,Kredit
almost,fast
state,Zustand
earnings,Einnahme
future,Zukunft
across,über
rather,lieber
months,Monate
please,bitte
either,entweder
office,Büro
center,Zentrum
issues,Probleme
inside,innerhalb
access,Zugriff
reason,Grund
simple,einfach
amount,Menge
search,Suche
result,Ergebnis
life,Leben
probably,wahrscheinlich
common,verbreitet
report,Bericht
single,Single
season,Jahreszeit
matter,Angelegenheit
there,da
through,durch
another,ein weiterer
between,zwischen
however,jedoch
without,ohne
company,Unternehmen
service,Bedienung
support,Unterstützung
against,gegen
program,Programm
to provide,bereitstellen
search,Suche
several,mehrere
to process,verarbeiten
already,bereits
thought,Gedanke
quality,Qualität
project,Projekt
whether,ob
example,Beispiel
to include,einschließen
website,Webseite
problem,Problem
country,Land
members,Mitglieder
control,Steuerung
to believe,glauben
usually,meistens
started,gestartet
someone,jemand
special,besonderer
product,Produkt
nothing,nichts
history,Geschichte
friends,Freunde
current,aktuell
general,allgemeiner
million,Million
results,Ergebnisse
furthermore,außerdem
natural,natürlich
various,verschiedene
certain,sicher
instead,stattdessen
medical,medizinisch
business,Geschäft
services,Dienstleistungen
children,Kinder
actually,tatsächlich
together,zusammen
students,Studenten
research,Forschung
possible,möglich
products,Produkte
national,national
personal,persönlich
although,obwohl
something,etwas
training,Ausbildung
probably,wahrscheinlich
building,Gebäude
industry,Industrie
everyone,jeder
internet,Internet
addition,Zusatz
problems,Probleme
to continue,weitermachen
question,Frage
interest,Interesse
yourself,dich selbst
different,anders
something,etwas
important,wichtig
available,verfügbar
including,einschließlich
community,Gemeinschaft
companies,Firmen
education,Bildung
according,gemäß
financial,Finanz-
insurance,Versicherung
experience,Erfahrung
government,Regierung
everything,alles
management,Verwaltung
university,Universität
especially,insbesondere
to understand,verstehen
particular,besonders
technology,Technologie
information,Information
development,Entwicklung
international,International
technology,Technologie
information,Information
development,Entwicklung
international,International
